City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Havoysund,NO,2021-03-30 21:10:15,70.9963,24.6622,35.6,87,75,16.11
68,Bredasdorp,ZA,2021-03-30 21:10:15,-34.5322,20.0403,59.0,88,0,6.91
69,Namibe,AO,2021-03-30 21:10:16,-15.1961,12.1522,74.66,85,100,6.82
70,Port Alfred,ZA,2021-03-30 21:10:16,-33.5906,26.891,66.63,87,22,18.84
71,Torbay,CA,2021-03-30 21:10:07,47.6666,-52.7314,30.99,55,75,23.02
72,Martapura,ID,2021-03-30 21:10:16,-3.4167,114.85,72.75,98,62,1.21
73,Poum,NC,2021-03-30 21:10:17,-20.2333,164.0167,78.62,74,93,13.56
74,Vaitape,PF,2021-03-30 21:10:17,-16.5167,-151.75,81.12,73,25,2.98
75,Kununurra,AU,2021-03-30 21:10:17,-15.7667,128.7333,69.8,94,4,5.46
76,Parabel,RU,2021-03-30 21:10:18,58.6978,81.4825,20.19,94,99,8.97
77,Porto Santo,PT,2021-03-30 21:10:18,33.072,-16.3415,60.8,88,20,3.44
78,Novikovo,RU,2021-03-30 21:10:18,51.1537,37.8879,33.15,73,24,5.28
79,Gazojak,TM,2021-03-30 21:10:19,41.1875,61.4036,50.05,49,67,7.87
80,Kaeo,NZ,2021-03-30 21:10:19,-35.1,173.7833,69.01,94,28,5.99
81,Lompoc,US,2021-03-30 21:10:19,34.6391,-120.4579,72.0,43,3,13.8
82,San Cristobal,VE,2021-03-30 21:10:20,7.7669,-72.225,82.4,57,75,17.27
83,San Pedro,PH,2021-03-30 21:10:20,14.35,121.0167,80.6,74,20,2.3
84,Georgetown,MY,2021-03-30 21:10:20,5.4112,100.3354,82.4,89,20,3.44
85,Tuktoyaktuk,CA,2021-03-30 21:10:21,69.4541,-133.0374,-13.0,77,20,19.57
86,Tasiilaq,GL,2021-03-30 21:10:01,65.6145,-37.6368,26.6,68,90,4.61
87,Quatre Cocos,MU,2021-03-30 21:10:21,-20.2078,57.7625,78.01,94,40,9.22
88,Esperance,AU,2021-03-30 21:10:21,-33.8667,121.9,62.6,94,4,8.05
89,Cidreira,BR,2021-03-30 21:10:22,-30.1811,-50.2056,69.91,75,25,13.38
90,Hamilton,US,2021-03-30 21:09:28,39.1834,-84.5333,75.2,28,1,19.57
91,Labuhan,ID,2021-03-30 21:10:22,-6.8844,112.2051,77.99,83,100,5.88
92,Yarada,IN,2021-03-30 21:10:22,17.65,83.2667,80.6,94,40,3.44
93,Haines Junction,CA,2021-03-30 21:10:23,60.7522,-137.5108,41.0,42,100,8.05
94,Mehamn,NO,2021-03-30 21:10:23,71.0357,27.8492,35.6,87,75,21.85
95,Nikolskoye,RU,2021-03-30 21:10:23,59.7035,30.7861,41.0,93,90,15.66
96,Buriti,BR,2021-03-30 21:10:24,-22.9302,-45.3881,78.8,65,40,10.36
97,Sena Madureira,BR,2021-03-30 21:10:24,-9.0656,-68.6569,79.07,94,90,2.3
98,Beaverlodge,CA,2021-03-30 21:10:24,55.2166,-119.4361,37.4,44,75,12.66
99,Asau,RO,2021-03-30 21:10:24,46.4333,26.4,35.01,51,41,2.75
100,Kodiak,US,2021-03-30 21:10:25,57.79,-152.4072,42.8,65,75,10.36
101,Guerrero Negro,MX,2021-03-30 21:10:25,27.9769,-114.0611,73.08,38,1,12.46
102,Severo-Kurilsk,RU,2021-03-30 21:10:25,50.6789,156.125,35.89,93,82,5.39
103,Mount Isa,AU,2021-03-30 21:10:26,-20.7333,139.5,71.6,35,0,10.36
104,Bambous Virieux,MU,2021-03-30 21:10:26,-20.3428,57.7575,78.01,94,40,9.22
105,Srednekolymsk,RU,2021-03-30 21:10:26,67.45,153.6833,-1.01,97,93,6.04
106,Upernavik,GL,2021-03-30 21:10:27,72.7868,-56.1549,20.14,71,100,7.43
107,East London,ZA,2021-03-30 21:09:42,-33.0153,27.9116,70.65,81,6,7.18
108,Ambulu,ID,2021-03-30 21:10:27,-8.345,113.6058,74.91,92,79,2.26
109,Soyo,AO,2021-03-30 21:10:27,-6.1349,12.3689,79.59,80,96,2.46
110,Geraldton,AU,2021-03-30 21:10:28,-28.7667,114.6,69.8,88,30,6.91
111,Seoul,KR,2021-03-30 21:08:34,37.5683,126.9778,41.0,87,0,2.3
112,Carnarvon,AU,2021-03-30 21:10:28,-24.8667,113.6333,78.8,73,26,14.97
113,Coos Bay,US,2021-03-30 21:10:28,43.3665,-124.2179,57.99,62,1,21.85
114,Narsaq,GL,2021-03-30 21:10:29,60.9167,-46.05,42.8,45,75,18.41
115,Leningradskiy,RU,2021-03-30 21:10:29,69.3833,178.4167,-3.69,88,99,9.62
116,Khatanga,RU,2021-03-30 21:10:29,71.9667,102.5,-33.7,99,63,7.47
117,Ewa Beach,US,2021-03-30 21:10:30,21.3156,-158.0072,82.4,57,75,11.5
